layer,question,metric,run_id_or_group,value,unit,evidence_type,time_basis,source_file,source_locator,availability,confidence
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271206,1.3892564476051097,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271206,uncertain_geometry_event_conflict,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,uncertain,LOW_CONFLICTING_EVENT_AND_FIXED_GEOMETRY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271211,300.147747,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/scb_control_delay_20260727120915_480783.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271211,188.25411796569824,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271211,300.47106742858887,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271211,700.1669406890869,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271211,772.989282885938,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,(D1 - full observed D_brake) / v1,available,medium-high: same-run full-stop braking envelope
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271211,692.9015106621088,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271211,11.999340611264754,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271211,0.0,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,trapezoidal integral from t_deadline to t2,available,medium-high: observed full-stop deadline
L6,What physical safety outcome was observed?,outcome_data_observed,202607271211,safe_stop,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,MEDIUM_HIGH_STOP_TRAJECTORY_NO_ACTOR_HISTORY
L1,What temporal disturbance entered the closed loop?,bridge_delay_actual_wall_data_observed_ms,202607271643,300.099534,ms,direct observed,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/scb_control_delay_20260727164101_910365.csv,SCB requested/actual delay and lifecycle rows,available,high: independent bridge/SCB log
L2,Did update continuity or freshness degrade?,target_gap_max_ms,202607271643,115.9060001373291,ms,diagnostic,message header/source,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,stable target Fusion observations,available,medium-high: target ID continuity checked
L2,Did update continuity or freshness degrade?,data_age_target_at_t2_data_observed_ms,202607271643,394.22011375427246,ms,data-derived,wall/header aligned,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,last target source timestamp preceding physical t2,available,medium: source/header semantics from parser
L3,How long from target source to sustained physical response?,T_e2e_data_observed_ms,202607271643,893.8701152801514,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,t2_wall_s - t1_wall_s; t1 also uses Fusion source timestamp,available,high: common wall time and fixed endpoints
L4,Was the independently derived 0 m contact deadline missed?,tau_dynamic_data_derived_ms,202607271643,,ms,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,(D1 - full observed D_brake) / v1,unavailable,unavailable: collision truncates full stop
L4,What does a baseline-calibrated independent deadline predict?,tau_dynamic_model_predicted_ms,202607271643,312.7939677497206,ms,model-predicted,wall,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_six_layer_analysis/tables/run_level_model_predicted.csv,baseline median effective-deceleration model,available,medium: descriptive in-sample calibration
L5,How much distance was consumed before physical response?,D_delay_wall_integral_data_observed_m,202607271643,15.450549919780316,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,trapezoidal integral of speed from t1 to t2,available,high: common wall-clock integration
L5,How much incremental distance was traveled after the data-derived deadline?,D_distance_debt_data_derived_m,202607271643,,m,data-derived,wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,trapezoidal integral from t_deadline to t2,unavailable,unavailable: full-stop deadline or pre-cause window missing
L6,What physical safety outcome was observed?,outcome_data_observed,202607271643,collision,category,direct observed,wall/sim evidence separated,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_events_20260727164411.csv,CollisionSensor/actor history for collisions; braking endpoint and event absence for stops,available,HIGH_DIRECT_COLLISION_EVENT_AND_ACTOR_HISTORY
